iter	Passed	Remaining
869	2186	326
870	2188	324
871	2192	321
872	2194	319
873	2196	316
874	2197	313
875	2199	311
876	2201	308
877	2202	306
878	2204	303
879	2208	301
880	2210	298
881	2212	296
882	2214	293
883	2216	290
884	2218	288
885	2220	285
886	2223	283
887	2225	280
888	2227	278
889	2229	275
890	2230	272
891	2232	270
892	2234	267
893	2238	265
894	2243	263
895	2245	260
896	2247	258
897	2249	255
898	2255	253
899	2257	250
900	2259	248
901	2261	245
902	2263	243
903	2265	240
904	2267	238
905	2269	235
906	2271	232
907	2272	230
908	2274	227
909	2276	225
910	2277	222
911	2281	220
912	2283	217
913	2285	215
914	2286	212
915	2288	209
916	2290	207
917	2291	204
918	2293	202
919	2297	199
920	2299	197
921	2300	194
922	2302	192
923	2304	189
924	2306	186
925	2307	184
926	2311	182
927	2314	179
928	2315	176
929	2317	174
930	2319	171
931	2321	169
932	2322	166
933	2324	164
934	2327	161
935	2329	159
936	2331	156
937	2332	154
938	2334	151
939	2336	149
940	2337	146
941	2341	144
942	2343	141
943	2345	139
944	2346	136
945	2348	134
946	2350	131
947	2351	129
948	2353	126
949	2357	124
950	2359	121
951	2361	119
952	2362	116
953	2364	114
954	2366	111
955	2367	108
956	2372	106
957	2374	104
958	2377	101
959	2379	99
960	2381	96
961	2384	94
962	2387	91
963	2389	89
964	2392	86
965	2395	84
966	2400	81
967	2403	79
968	2405	76
969	2408	74
970	2410	71
971	2412	69
972	2418	67
973	2421	64
974	2423	62
975	2425	59
976	2428	57
977	2432	54
978	2435	52
979	2437	49
980	2439	47
981	2442	44
982	2446	42
983	2449	39
984	2451	37
985	2453	34
986	2456	32
987	2458	29
988	2463	27
989	2465	24
990	2468	22
991	2470	19
992	2472	17
993	2477	14
994	2479	12
995	2482	9
996	2484	7
997	2486	4
998	2489	2
999	2492	0
